# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	h_solver      	h_initial     	h_final       	h_iters       	h_converged   	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged	rho_solver    	rho_initial   	rho_final     	rho_iters     	rho_converged 
0.287906      	DILUPBiCGStab	4.653730e-03	5.296970e-08	4	3.939900e-02	9.448780e-08	5	9.644450e-03	8.061130e-08	4	false	DILUPBiCGStab	3.692520e-03	6.687220e-08	5	true	DICPCG	5.903580e-03	5.096820e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.297074      	DILUPBiCGStab	4.249000e-03	4.817760e-08	4	3.623830e-02	8.712240e-08	5	8.836630e-03	7.342190e-08	4	false	DILUPBiCGStab	3.371750e-03	6.150590e-08	5	true	DICPCG	5.393320e-03	4.671810e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.306241      	DILUPBiCGStab	3.880940e-03	4.388520e-08	4	3.331580e-02	8.017920e-08	5	8.098630e-03	6.690640e-08	4	false	DILUPBiCGStab	3.078820e-03	5.652390e-08	5	true	DICPCG	4.927210e-03	4.275340e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.315409      	DILUPBiCGStab	3.545580e-03	4.000810e-08	4	3.061340e-02	7.375040e-08	5	7.420110e-03	6.096320e-08	4	false	DILUPBiCGStab	2.811250e-03	5.190600e-08	5	true	DICPCG	4.501230e-03	3.916300e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.324576      	DILUPBiCGStab	3.240060e-03	9.465450e-08	4	2.811430e-02	6.778870e-08	5	6.795810e-03	5.556620e-08	4	false	DILUPBiCGStab	2.566870e-03	4.763410e-08	5	true	DICPCG	4.112220e-03	3.561660e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.333744      	DILUPBiCGStab	3.028810e-03	7.651720e-08	4	2.596200e-02	6.279690e-08	5	6.348770e-03	5.590210e-08	4	false	DILUPBiCGStab	2.343630e-03	4.368820e-08	5	true	DICPCG	3.978630e-03	3.357670e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.342911      	DILUPBiCGStab	2.738280e-03	8.321560e-08	4	2.392270e-02	5.817370e-08	5	5.771540e-03	4.698960e-08	4	false	DILUPBiCGStab	2.139800e-03	4.002450e-08	5	true	DICPCG	3.449710e-03	3.001860e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.352079      	DILUPBiCGStab	2.494030e-03	7.474740e-08	4	2.179180e-02	5.292520e-08	5	5.234900e-03	4.209640e-08	4	false	DILUPBiCGStab	1.953340e-03	3.667160e-08	5	true	DICPCG	3.142590e-03	2.754980e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.361246      	DILUPBiCGStab	2.272230e-03	6.810210e-08	4	1.993460e-02	4.839900e-08	5	4.771870e-03	3.815610e-08	4	false	DILUPBiCGStab	1.783130e-03	3.358770e-08	5	true	DICPCG	2.861060e-03	2.506840e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.370414      	DILUPBiCGStab	2.074680e-03	6.171190e-08	4	1.824930e-02	4.433670e-08	5	4.354040e-03	3.465320e-08	4	false	DILUPBiCGStab	1.627750e-03	3.075010e-08	5	true	DICPCG	2.614940e-03	2.295490e-05	34	true	diagonal	0.000000e+00	0.000000e+00	0	true
