# Region type : patch inlet
# Faces       : 460
# Area        : 1.000000e-04
# Scale factor: 1.000000e+00
# Time        	areaAverage(T)
21.2271       	2.931500e+02
21.2363       	2.931500e+02
21.2454       	2.931500e+02
21.2546       	2.931500e+02
21.2637       	2.931500e+02
21.2729       	2.931500e+02
21.2821       	2.931500e+02
21.2912       	2.931500e+02
21.3004       	2.931500e+02
21.3095       	2.931500e+02
21.3187       	2.931500e+02
21.3278       	2.931500e+02
21.337        	2.931500e+02
21.3462       	2.931500e+02
21.3553       	2.931500e+02
21.3645       	2.931500e+02
21.3736       	2.931500e+02
21.3828       	2.931500e+02
21.3919       	2.931500e+02
21.4011       	2.931500e+02
21.4103       	2.931500e+02
21.4194       	2.931500e+02
21.4286       	2.931500e+02
21.4377       	2.931500e+02
21.4469       	2.931500e+02
21.456        	2.931500e+02
21.4652       	2.931500e+02
21.4744       	2.931500e+02
21.4835       	2.931500e+02
21.4927       	2.931500e+02
21.5018       	2.931500e+02
21.511        	2.931500e+02
21.5201       	2.931500e+02
21.5293       	2.931500e+02
21.5385       	2.931500e+02
21.5476       	2.931500e+02
21.5568       	2.931500e+02
21.5659       	2.931500e+02
21.5751       	2.931500e+02
21.5842       	2.931500e+02
21.5934       	2.931500e+02
21.6026       	2.931500e+02
21.6117       	2.931500e+02
21.6209       	2.931500e+02
21.63         	2.931500e+02
21.6392       	2.931500e+02
21.6484       	2.931500e+02
21.6575       	2.931500e+02
21.6667       	2.931500e+02
21.6758       	2.931500e+02
21.685        	2.931500e+02
21.6941       	2.931500e+02
21.7033       	2.931500e+02
21.7125       	2.931500e+02
21.7216       	2.931500e+02
21.7308       	2.931500e+02
21.7399       	2.931500e+02
21.7491       	2.931500e+02
21.7582       	2.931500e+02
21.7674       	2.931500e+02
21.7766       	2.931500e+02
21.7857       	2.931500e+02
21.7949       	2.931500e+02
21.804        	2.931500e+02
21.8132       	2.931500e+02
21.8223       	2.931500e+02
21.8315       	2.931500e+02
21.8407       	2.931500e+02
21.8498       	2.931500e+02
21.859        	2.931500e+02
21.8681       	2.931500e+02
21.8773       	2.931500e+02
21.8864       	2.931500e+02
21.8956       	2.931500e+02
21.9048       	2.931500e+02
21.9139       	2.931500e+02
21.9231       	2.931500e+02
21.9322       	2.931500e+02
21.9414       	2.931500e+02
21.9505       	2.931500e+02
21.9597       	2.931500e+02
21.9689       	2.931500e+02
21.978        	2.931500e+02
21.9872       	2.931500e+02
21.9963       	2.931500e+02
22.0055       	2.931500e+02
22.0147       	2.931500e+02
22.0238       	2.931500e+02
22.033        	2.931500e+02
22.0421       	2.931500e+02
22.0513       	2.931500e+02
22.0604       	2.931500e+02
22.0696       	2.931500e+02
22.0788       	2.931500e+02
22.0879       	2.931500e+02
22.0971       	2.931500e+02
22.1062       	2.931500e+02
22.1154       	2.931500e+02
22.1245       	2.931500e+02
22.1337       	2.931500e+02
22.1429       	2.931500e+02
22.152        	2.931500e+02
22.1612       	2.931500e+02
22.1703       	2.931500e+02
22.1795       	2.931500e+02
22.1886       	2.931500e+02
22.1978       	2.931500e+02
22.207        	2.931500e+02
22.2161       	2.931500e+02
